       6 ORACLE 0x05564 = 0x100683D1
       7 ORACLE 0x05428 = 0x00000000
      13 ORACLE 0x0172C = 0x00000000
      14 ORACLE 0x0173C = 0x00000000
      15 WR     0x0172C = 0x00000000
      16 WR     0x0173C = 0x20000000
      17 ORACLE 0x05428 = 0x00000000
      18 WR     0x00664 = 0x00510009
      19 ORACLE 0x00660 = 0x00000006
      20 WR     0x00660 = 0x00000001
      21 ORACLE 0x004F8 = 0x00000406
      22 WR     0x004F8 = 0x00000006
      23 ORACLE 0x05C64 = 0x00000000
      24 WR     0x05C64 = 0x02000000
      25 ORACLE 0x0081C = 0x00000000
      26 WR     0x0081C = 0x00000402
      27 WR     0x00668 = 0x00017F02
      28 WR     0x00828 = 0x1D20D320
      29 WR     0x00700 = 0x061A8002
      30 WR     0x00708 = 0x38006A70
      31 WR     0x00710 = 0x01500101
      32 WR     0x0066C = 0x00004020
      33 WR     0x007A0 = 0x88000441
      34 WR     0x0071C = 0xC080001C
      35 WR     0x00720 = 0x3138680E
      36 WR     0x00710 = 0x01500101
      37 WR     0x00724 = 0x00000900
      38 ORACLE 0x00150 = 0x0000007B
      39 ORACLE 0x00724 = 0x00000900
      40 WR     0x00724 = 0x00000D00
      41 ORACLE 0x00728 = 0x00000000
      42 WR     0x00728 = 0x00000025
      43 POLL   0x00728 = 0x00000024
      67 WR     0x00728 = 0x00202049
      68 ORACLE 0x00728 = 0x00202049
      69 ORACLE 0x00728 = 0x00202048
      70 WR     0x00728 = 0x0046604D
      71 ORACLE 0x00728 = 0x0046604D
      72 ORACLE 0x00728 = 0x0046604C
      73 WR     0x00728 = 0x0020406D
      74 ORACLE 0x00728 = 0x0020406D
      75 ORACLE 0x00728 = 0x0020406C
      76 WR     0x00728 = 0x00408071
      77 ORACLE 0x00728 = 0x00408071
      78 ORACLE 0x00728 = 0x00408070
      79 WR     0x00728 = 0x00000075
      80 ORACLE 0x00728 = 0x00000075
      81 ORACLE 0x00728 = 0x00000074
      82 WR     0x00728 = 0x00000079
      83 ORACLE 0x00728 = 0x00000079
      84 ORACLE 0x00728 = 0x00000078
      85 WR     0x00728 = 0x0068007D
      86 ORACLE 0x00728 = 0x0068007D
      87 ORACLE 0x00728 = 0x0068007C
      88 WR     0x00728 = 0x000F4001
      89 ORACLE 0x00728 = 0x000F4001
      90 ORACLE 0x00728 = 0x000F4000
      91 WR     0x00728 = 0x0000000A
      92 ORACLE 0x00728 = 0x0000000A
      93 ORACLE 0x00724 = 0x00000D00
      94 WR     0x00724 = 0x00000900
      95 WR     0x0010C = 0x00095401
      96 ORACLE 0x01600 = 0x11030300
      97 WR     0x01600 = 0x11030302
      98 ORACLE 0x017DC = 0x00000002
      99 WR     0x017DC = 0x00000001
     100 WR     0x00030 = 0x00000002
     101 ORACLE 0x00034 = 0x00000000
     102 WR     0x00030 = 0x00000002
     103 WR     0x00034 = 0x00008001
     104 WR     0x00030 = 0x00000010
     105 ORACLE 0x00034 = 0x00630900
     106 WR     0x00030 = 0x00000010
     107 WR     0x00034 = 0x00010900
     108 WR     0x00030 = 0x00000021
     109 ORACLE 0x00034 = 0x00000000
     110 WR     0x00030 = 0x00000021
     111 WR     0x00034 = 0x00000080
     112 WR     0x00038 = 0x00000070
     113 WR     0x0003C = 0x01004000
     114 WR     0x00038 = 0x000000A0
     115 ORACLE 0x0003C = 0x40000050
     116 WR     0x00038 = 0x000000A0
     117 WR     0x0003C = 0x60010010
     118 WR     0x00038 = 0x000000A2
     119 ORACLE 0x0003C = 0x00B01246
     120 WR     0x00038 = 0x000000A2
     121 WR     0x0003C = 0x00D816C6
     122 WR     0x00038 = 0x000000A4
     123 ORACLE 0x0003C = 0x074C2103
     124 WR     0x00038 = 0x000000A4
     125 WR     0x0003C = 0x074C2D23
     126 WR     0x00038 = 0x000000B1
     127 ORACLE 0x0003C = 0x960802C6
     128 WR     0x00038 = 0x000000B1
     129 WR     0x0003C = 0x960850C6
     130 WR     0x02C00 = 0x0F200029
     131 WR     0x02F4C = 0x00121FE0
     132 ORACLE 0x00018 = 0x00000000
     133 WR     0x00018 = 0x00000000
     134 WR     0x05444 = 0xABC906D8
     135 WR     0x05308 = 0x0000007F
     136 ORACLE 0x00C64 = 0x00000000
     137 WR     0x00C64 = 0x00000001
     138 WR     0x00C68 = 0x66666666
     139 WR     0x00C74 = 0x002BC666
     140 ORACLE 0x00BD8 = 0x00000404
     141 WR     0x00BD8 = 0x2000F404
     142 WR     0x00BE4 = 0x000290AD
     143 WR     0x00BE0 = 0x00040000
     144 ORACLE 0x05C1C = 0x00000003
     145 WR     0x05C1C = 0x00000803
     146 WR     0x004EC = 0x0112021B
     147 WR     0x004C0 = 0x00106978
     148 WR     0x05EE8 = 0x001B0018
