╔══════════════════════════════════════════════════════════════════════╗
║  GPU Register Probe —    cold-boot                                  ║
╚══════════════════════════════════════════════════════════════════════╝

PCI Command Register:
  Bus 1: 0x0407  Mem=ON  BusMaster=ON
  Bus 2: 0x0407  Mem=ON  BusMaster=ON

Sanity: GRBM_STATUS bus1=0x00003028 bus2=0x00003028

Register                         Bus1 (POSTed)            Bus2  Match
────────────────────────────────────────────────────────────────────────────────
GB_TILE_MODE25                  0x00202291      0x00202291      ==
GB_TILE_MODE26                  0x00000000      0x00000000      ==
GB_TILE_MODE27                  0x00000000      0x00000000      ==
GB_TILE_MODE28                  0x00000000      0x00000000      ==
GB_TILE_MODE29                  0x00000000      0x00000000      ==
GB_TILE_MODE30                  0x00000000      0x00000000      ==
GB_TILE_MODE31                  0x00000000      0x00000000      ==
TCP_CHAN_STEER_LO               0x00001032      0x00001032      ==
TCP_CHAN_STEER_HI               0x00000000      0x00000000      ==
TCP_ADDR_CONFIG                 0x00000003      0x00000003      ==
RLC_CNTL                        0x00000001      0x00000001      ==
RLC_CGTT_MGCG_OVERRIDE          0xFFFFFFC0      0xFFFFFFC0      ==
RLC_CGCG_CGLS_CTRL              0x0020003C      0x0020003C      ==
DMA_TILING_CONFIG               0x00000000      0x00000000      ==
PA_SC_RASTER_CONFIG             0x0000000A      0x0000000A      ==

════════════════════════════════════════════════════════════════════════════════
SUMMARY: 10 diffs, 100 matches out of 110 registers
Bus 2 registers reading 0xFFFFFFFF: 0/110

Registers that DIFFER (need to match bus 1 for compute to work):
────────────────────────────────────────────────────────────────────────────────
  VGA_RENDER_CONTROL           (0x0300)  bus1=0x0200000F  bus2=0x0000000F
  VGA_HDP_CONTROL              (0x0328)  bus1=0x00000001  bus2=0x00000000
  CG_SPLL_FUNC_CNTL_3          (0x0608)  bus1=0x100B1C71  bus2=0x100B1C70
  VM_INVALIDATE_RESPONSE       (0x147C)  bus1=0x00000007  bus2=0x00000001
  VM_CONTEXT0_PT_BASE          (0x1540)  bus1=0x00000AF0  bus2=0x00000000
  MC_SEQ_MISC0                 (0x2A00)  bus1=0x500026A9  bus2=0x500036A9
  SCRATCH_REG0                 (0x8500)  bus1=0x0002487F  bus2=0x0000010F
  CP_RB0_CNTL                  (0x8600)  bus1=0x00550020  bus2=0x00000000
  CP_RB0_WPTR                  (0x8610)  bus1=0x8000000C  bus2=0x00000000
  CP_RB0_RPTR                  (0x8700)  bus1=0x00024890  bus2=0x00000120

